lemma,part_of_speech,translation,relations
wiinin,inanimate noun,fat,
imbaabaa,dependent animate noun,my father See also:indede,"indede, gidede, odedeyan, imbaabaa, gibaabaa, obaabaayan, imbaabaa, gibaabaa, obaabaayan, owoosi, o'oosi, o'oosi, obaabaayi, odedeyi, oyoosim, o'oosim, o'oosim, obaabaayim, odedeyim"
inzinis,dependent animate noun,my father-in-law See also:nizhinis,"nizhinis, nizhinis, gizhinis"
noondeshin,animate intransitive verb,"s/he is fatigued, is exhausted, falls short of a goal",
nibi wenjijiwang,inanimate participle,"a faucet, a tap",
minwaanimad,inanimate intransitive verb,there is a good breeze,
gidagaakoons,animate noun,a fawn,
bagamaanimizi,animate intransitive verb,s/he arrives in fear,
goshi,transitive animate verb,"be afraid of, fear h/ Paired with:gotan","gotan, goshi"
zegendam,class 2 animate intransitive verb,"s/he feels scared, feels fearful",
wiikwandiwin,inanimate noun,a feast; feast food,"wiikwandiwag, wiikwam, wiikongetoon, wiikonge'"
wiikonge',transitive animate verb,"feast h/, make a feast for h/ Paired with:wiikongetoon","wiikongetoon, wiikonge'"
miigwan,animate noun,a feather,"makadewigwan, makade-miigwan, ozaawi-miigwan, waabishki-miigwan, waabishkigwan, ozaawi-miigwan"
miigwani-wiiwakwaan,inanimate noun,"a feather headdress, a feather bonnet",
miigwani-wiiwakwaan,inanimate noun,"a feather headdress, a feather bonnet",
migiziwi-giizis,animate noun,February,
moo,inanimate noun,"feces, excrement",
asham,transitive animate verb,"feed (it) to, serve (it) to h/ Paired with:ashandan","ashandan, asham"
biingeji,animate intransitive verb,s/he feels cold,
mikoojiin,transitive animate verb,"find, discover, feel h/ or it (animate) with the hand or fingers Paired with:an","mikoojiinan, mikoojiin"
gawa',transitive animate verb,"fell it (animate), chop it (animate) down Paired with:an","gawa'an, gawa'"
#NAME?,dependent animate noun,my fellow man,
minjikanaakobijigan,inanimate noun,a fence,
minjikanaakobidoon,class 2 transitive inanimate verb,"fence it, fence it in Paired with:minjikanaakobizh","minjikanaakobizh, minjikanaakobidoon"
aazhawa'oodoon,class 2 transitive inanimate verb,ferry it across; take it across by boat Paired with:aazhawa'oozh,"aazhawa'oozh, aazhawa'oodoon"
aazhawa'oojigan,inanimate noun,a ferry,
aazhawa'oojigewinini,animate noun,a ferryman,
baapinakamigad,inanimate intransitive verb,there are festivities Paired with:baapinakamigizi,baapinakamigizi
naadin,class 3 transitive inanimate verb,"go get, go after, fetch it Paired with:naazh","naazh, naadin"
gizhizo,animate intransitive verb,s/he or it (animate) is hots/he has a fever,
agaasiinad,inanimate intransitive verb,"there is a small amount of, a little of, less of it (inanimate);  there are few of, a little of, less of them (inanimate) Paired with:agaasiino","agaasiino, bangiiwagizi, bangiiwagad"
asigobaan,inanimate noun,processed basswood bark fiber,
naazhaabii'igan,inanimate noun,"a violin, a fiddle",
gitigaan,inanimate noun,"a field, a garden, a farm",
aakwaadizi,animate intransitive verb,s/he is fierce,
ashi-naanan,number,and fivefifteen,
ashi-naanwaginzo,animate intransitive verb,it is the fifteenth (of the month),
naanogonagizi,animate intransitive verb,it is the fifth (of the month); s/he is five days old Paired with:naanogonagad,naanogonagad
naanimidana,number,fifty,
miigaadan,transitive inanimate verb,fight it Paired with:miigaazh,"miigaazh, miigaadan"
miigaazo,animate intransitive verb,s/he fights,
miigaadinoke,animate intransitive verb,"s/he starts a fight, is the instigator of a fight",
onendam,class 2 animate intransitive verb,"s/he decides what to do,  figures something out",
zisiboodoon,class 2 transitive inanimate verb,"file, grind it down; sharpen it (an ax) Paired with:zisiboozh","zisiboozh, zisiboodoon, zisiboozo, zisiboode, giiniboozh, giiniboodoon, maajiboozh, maajiboodoon"
zisiboojigan,inanimate noun,"a file, a rasp",
baanizhaawe,animate intransitive verb,"s/he cuts meat into strips for preservation, filets fish",baanizh
mooshkina',transitive animate verb,fill h/ (with solids) Paired with:mooshkinadoon;mooshkinatoon,"mooshkinadoon, mooshkina', aabitooshkinadoon, aabitooshkina', aabitooshkinatoon, aabitooshkina', aabitooshkinadoon, ziigashkinadoon, ziigashkina', onzaamashkinadoon, onzaamashkina', mooshkinebazh, mooshkinebadoon, aabitoobazh, aabitoobadoon, ziigibazh, onzaamibadoon, onzaamibazh"
mooshkinebii'ige,animate intransitive verb,s/he fills out a form,
minwashkine,inanimate intransitive verb,it fits well; it is well filled Paired with:,minwashkine
oninjigan,dependent inanimate noun,h/ fin (especially a pectoral fin of a fish); h/ (crayfish) pincer,
aangwaamas,temporal adverb,"finally, after a long time",
mikan,transitive inanimate verb,find it Paired with:mikaw,"mikaw, mikan, mikobizh, mikobidoon"
gwayakotam,class 2 animate intransitive verb,"s/he hears the right thing,  finds out the truth",
biisaa,inanimate intransitive verb,it is fine; it is in particles Paired with:biisizi,"biisizi, biisaa, agaasaabiigizi, biisa'an, biisa', biisizh, biisizhan"
niibinaakwaanininj,inanimate noun,a finger,
mindaweganzhii,animate intransitive verb,s/he has white spots on fingernails,
wanakoninj,inanimate noun,fingertip,
giizhiitaa,animate intransitive verb,"s/he finishes, gets done",
giizhakidoon,class 2 transitive inanimate verb,finish setting it up Paired with:giizhakizh,"giizhakizh, giizhakidoon, giizhitoon, giizhi', giizizan, giizhizwi, giiziz, giizhizan"
madoodoowinini,animate noun,a Finn,
zhingob,animate noun,a balsam fir; {BL] a bough of any evergreen tree; a christmas tree,zhingobaandag
zhingobaandag,animate noun,a fir bough,
ishkode,inanimate noun,"fire, a fire","boodawaazh, boodawaadan, nawadizo, nawadide, zakizo, zakide, ishkodewi, zakizo, zakide, zaka'an, zaka', agwaasidoon, agwaashim"
aate'igan,inanimate noun,a fire extinguisher,
jiichiishkinzhe'igan,inanimate noun,a fire poker,
aatawe'igewidaabaan,animate noun,a fire truck,"aatawe'ishkodawewidaabaan, aatawe'ishkodawewidaabaan"
waawaatesi,animate noun,a firefly,
aate'ishkodawewinini,animate noun,"a firefighter, a fireman",
boodawaan,inanimate noun,a fireplace,
mishi,inanimate noun,(a stick of) firewood,
akawe,temporal adverb,"first (in a time sequence), first of all; for now",
nitamige,animate intransitive verb,s/he lives in the first house,
n=,prefix,"I, me ; my ",gaye niin
niinawind,personal pronoun,"we, us  See also:gaye ;ge",gaye niinawind
giinawind,personal pronoun,"we, us  See also:gaye ;ge",gaye giinawind
giinawind,personal pronoun,"we, us  See also:gaye ;ge",gaye giinawind
nitamoozhaan,animate noun,an eldest child; a first-born child,
aabitawaasige,animate intransitive verb,there is a first-quarter or last-quarter moon,
giigoonh,animate noun,a fish See also:giingoo,"giingoo, gaaskaabasigan"
giigoonyike,animate intransitive verb,s/he fishes,
okeyaw,animate noun,a fish decoy,
waak,animate noun,"a fish egg, roe",
waakoonsiwi-bakwezhigan,animate noun,fish-egg bread,
giigoonhwi-bimide,inanimate noun,fish grease,
migiskan,inanimate noun, a fish hook,
akwa'wewigamig,inanimate noun,a fish house for spearing,
onaga'ayan,dependent animate noun,its scale (of a fish),
giigoonhwaaboo,inanimate noun,fish soup,
anit,inanimate noun,a fish spear,
ozhigwan,dependent inanimate noun,its tail (of a fish or snake),
biindasaagan,animate noun,a raft; a winter net setting board,
ojiig,animate noun,a fisher,ojiigiwayaan
ojiigiwayaan,animate noun,a fisher hide,
giigoonyikewinini,animate noun,fisherman,
wewebanaabiiwin,inanimate noun,"fishing using a hook, angling",
noojigiigoonyiwe-mazina'igaans,inanimate noun,a fishing license,
migiskanaak,inanimate noun,a fishing pole,
bikwaakoninjiini,animate intransitive verb,s/he makes a fist,
debashkine,inanimate intransitive verb,"it fits, adequately holds Paired with:","debashkine, debashkine"
geshawishkan,transitive inanimate verb,fit it loosely Paired with:geshawishkaw,"geshawishkaw, geshawishkan, minwashkine, minokaw, minokan, debishkaw, debishkan"
banaskwiiwagitaawigamig,inanimate noun,"a fitness center, a gym for working out",
naano-,quantitative preverb,five,"naananinoon, naananiwag, naanogonagizi, naanogonagad, naano-giiziswagizi, naano-biboonagad, naanoopizh, naanoopizowag, naanoopidewan"
naanoobii'igan,animate noun,a five (card),
naanwaak,number,five hundred,
naano-diba'iganed,inanimate intransitive verb,it is five o'clock,
naanosagoons,number,five thousand,
nanaa'itoon,class 2 transitive inanimate verb,"fix, repair it Paired with:nanaa'i'","nanaa'i', nanaa'itoon, nanaa'itamaw, nanaa'itaw, nanaa'in, nanaa'inan"
gikiwe'on,inanimate noun,a flag,
gikiwe'onaatig,animate noun,a flagpole,
waazakonebijigan,inanimate noun,a flashlight,
nabagi-,lexical preverb,flat,"nabagizi, nabagaa, nabagada'wi"
apaabowe,animate intransitive verb,"s/he flavors, seasons soup",
babig,animate noun,a flea,
ginjiba',transitive animate verb,"flee from, run away from h/",
#NAME?,dependent inanimate noun,someone's flesh; someone's meat (of the body),
biskijiitaa,animate intransitive verb,"s/he bends, folds, flexes h/ body",
mooningwane,animate noun,a Northern flicker,baakaakowebinan
baakaakowebinan,transitive inanimate verb,"fling, shove it open (as something stick- or wood-like, e.g., a door)",
biiwaanag,animate noun,flint,
gwanabishkan,transitive inanimate verb,tip it (with foot or body),
noodendam,class 2 animate intransitive verb,s/he flirts,"noondenim, noodenim"
noojiwigiizhwe,animate intransitive verb,s/he talks flirtatiously,
agonjoonaagan,inanimate noun,a net float,
agwanjin,animate intransitive verb,"s/he or it (animate) is in or on the water, floats, soaks See also:agonjin","agonjin, agonjin, agwinde, agwanjin, agonde"
okwiinowag,animate intransitive verb,"they (animate) are in a group, a herd, a flock, a swarm Paired with:okwiinadoon",okwiinadoon
mooshka'an,inanimate intransitive verb,it is flooded; there is a flood,
mooshka'an,inanimate intransitive verb,it is flooded; there is a flood,nikibii
michisag,inanimate noun,a floor,"giziisaginige, giziibiigisaginige, giziibiigisaginige"
ashkaawangi-bakwezhigan,animate noun,flour,
bakwezhigani-makak,inanimate noun,a bread box; a flour box,
bimijiwan,inanimate intransitive verb,it flows along,
waabigwan,inanimate noun,a flower,
waabigwanii-adaawewigamig,inanimate noun,a flower shop,
biiswewigwane,animate intransitive verb,it (animate) has fine fluffy feathers,"noosookizi, noosookaa"
bibigwan,inanimate noun,a flute,bibigwan
animikose,inanimate intransitive verb,"it turns face down,  flies face down Paired with:","animikose, animikose, baakise, bakobiise, bakobiise, biinjibizo, biinjise"
animibide,inanimate intransitive verb,"it speeds away, drives away,  flies away Paired with:animibizo","animibizo, animibide, animise, animise, animwewebizo, animwewebide, apiichibizo, apiichibide, babaamise, babaamise, babaamibizo, babaamibide, bagamibizo, bagamibide, bagamise, bagamise, biijibizo, biijise, biijise, biindigebizo, biinjibizo, biinjise, bimibizo"
agawaatese,inanimate intransitive verb,it casts a shadow flying Paired with:,"agawaatese, animibizo, animibide, animise, animise, babaamise, babaamise, babaamibizo, babaamibide, bagamibizo, bagamibide, bagamise, bagamise, biijibizo, biijise, biijise, biinjibizo, biinjise"
oojii,animate noun,a fly See also:ns,"oojiins, oojii"
gaa-babaamisewaad,animate participle,the beings that fly about: the Flyers,
zhagashkaandawe,animate noun,a flying squirrel,biite
biite,inanimate noun,foam,
biitewan,inanimate intransitive verb,it is foamy,
awan,inanimate intransitive verb,"it is foggy, there is fog",
awan,inanimate intransitive verb,"it is foggy, there is fog",
biskiigin,transitive animate verb,fold it (animate; sheet-like) (with hand) Paired with:an,"biskiiginan, biskiigin, biskiigishin, biskiigisin, ozhiiginan, ozhiigin"
biskaa,inanimate intransitive verb,"it is bent over, folded",
maada'adoo,animate intransitive verb,s/he goes off following a trail,"maada'azh, maada'adoon, bima'azh, bima'adoon, anima'azh, anima'adoon, biida'azh, biida'adoon, ina'azh, ina'adoon"
biminizha',transitive animate verb,follow h/ along Paired with:an See also:wi,"biminizha'an, biminizha'wi, biminizha'"
gikinootaw,transitive animate verb,"imitate what h/ says or sounds like, follow h/ instructions",
Nagaajiwanaang,place name,Fond du Lac Reservation,
miijim,inanimate noun,food,"gaazhagensiwi-wiisininiwin, gaazhagensiwi-miijim, andawenjige, ashandan"
gagiibaadad,inanimate intransitive verb,"it is foolish, is silly Paired with:gagiibaadizi","gagiibaadizi, gagiibaazinaagwad, gagiibaazinaagozi, gagiibaazinaagwad, gagiibaazinaagozi, gagiibaadendaagwad, gagiibaadendaagozi, gagiibaazitaagwad, gagiibaazitaagozi, gagiibaadenim, gagiibaadendan, gagiibaadendaagwad, gagiibaadendaagozi"
gagiibaajitoon,class 2 transitive inanimate verb,"do it foolishly, do it (something foolish)",
nizid,dependent inanimate noun,my foot See also:inzid,"inzid, nizid"
daso-mizid,number,a certain number of feet,"daso-mizid, daso-mizid, ningodozid, ingodozid, niiyozid, niiwozid, ningodwaasozid, ingodwaasozid"
aazhawaandawaagan,inanimate noun,a footbridge,
ozide-miikana,inanimate noun,a footpath,
bimikawaan,inanimate noun,"a footprint, a track",
apizideyaakwa'igan,inanimate noun,a cradleboard footrest,
aajizide'onaak,inanimate noun,a cradleboard footrest,
apizideshinowin,inanimate noun,"a place to put your feet: a footrest, a footstool, a floor mat, an insole",
gina'amaw,transitive animate verb,"forbid h/ to, warn h/ against",
makam,transitive animate verb,"take (it) from h/ (forcibly), rob h/ of (it)",
nikatig,dependent inanimate noun,"my forehead, brow",
mayagi-,lexical preverb,exotic; foreign; strange; unusual; different from the usual,"mayaginaagwad, mayaginaagozi, mayagitaagwad, mayagitaagozi"
mayagwewinini,animate noun,"a foreigner, a speaker of a foreign language",
amikoninj,inanimate noun,a beaver forepaw,
onwaachige,animate intransitive verb,"s/he foretells the future, prophesies",
gaagige-,lexical preverb,forever,
boonendan,transitive inanimate verb,"forget, ignore it Paired with:boonenim","boonenim, boonendan, wanenim, wanendan"
waniike,animate intransitive verb,s/he forgets,
badaka'igan,inanimate noun,a fork,"badaka'an, badaka'"
niingidawaa,inanimate intransitive verb,"it is forked, forks Paired with:niingidawizi",niingidawizi
niingidawaa,inanimate intransitive verb,"it is forked, forks Paired with:niingidawizi",niingidawizi
mooshkinebii'ige,animate intransitive verb,s/he fills out a form,
ozhitoon,class 2 transitive inanimate verb,"make, build, form it Paired with:ozhi'","ozhi', ozhitoon, ozhitamaw, ozhitaw, onadin, onadinan"
gayat,temporal adverb,"formerly, previously, some time ago",ako
zhawendaagozi,animate intransitive verb,"s/he is blessed, is fortunate, is loveable Paired with:zhawendaagwad",zhawendaagwad
niimidana,number,forty,
niiyo-,quantitative preverb,four,"niiyo-, niiwinoon, niiwiwag, niiyooshkin, niiwogonagad, niiyozid, niiwozid, niiyo-diba'igan, niiwo-diba'igan, niiyoninj, niiwoninj, niiyo-diba'igan, niiwo-diba'igan, niiyo-diba'igaans, niiwo-diba'igaans, niiyo-giizis, niiyo-giiziswagizi, niiyo-dibik, niiwo-diba'iganed, niiyo-diba'iganed, niiwo-dibaabiishkoojigan, niiyo-dibaabiishkoojigan, niiyo-anama'e-giizhigad, niiyo-anama'e-giizhik, niiwo-anama'e-giizhigad, niiwo-anama'e-giizhik, niiyo-biboon, niiwo-biboonagizi, niiyo-biboonagad, niiwo-biboon, niiyo-biboonagizi, niiwo-biboonagad, niiwo-biboonagad, niiyo-biboonagizi, niiwo-biboonagizi, niiyoopizh, niiyoopizowag, niiyoopidewan"
niiyoobii'igan,animate noun,a four (card) See also:niiwoobii'igan,"niiwoobii'igan, niiyoobii'igan"
